scope_id,chosen_policy,predicted_apc_jct_ms,predicted_pat_jct_ms,predicted_waferagent_jct_ms,opportunity_score,reason,baseline,arrival_rate_jobs_per_s,effective_run_policy,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
sha256:f7a69cb979143805cea7662d68f04462aa1eaa670a94c70d0691d994ec9df984,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:88a4fce4fe73860d8d5cc64ac63b23e3323341c6a48ad5bf911a684506b8b97f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:3e955edbc1831474ec60ef68034f1d5a3cfa62940aeaf236a10e4025578ec33e,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:0f96295dce46db51b03484b949e7fa785d9493d298b24106731e8a87e423048c,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:3010300958232418d6895108df8fa71794709836ce98cca3cfe71933eb0c9e9c,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:4eb52e679e2eba3c23c2d1120919f30c7a3fd0bda76bbefe422ac93b6e5694ca,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:42a0feec801250da2d9652889b46c0ed8aa31d6cc4057708d7ef90f1480fc4c2,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:859230eb0f9311f90751272438c5dbe40371519e1ff746e58ecc92ffa9678bc4,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:28f3a9fdd69f59a265f34f311566bad9be3e23e8b5635c72baf068a3723dc0b9,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:b8c72d74aedd1f967f82d45adf9fb328a7f8b16242730fef103807628360bcea,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:8a4d117f8e48eedb2ae27cf3976043e060e7c76e298ef9f7a031357ebec05c6f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:d031fc78c5ba9a06ba4f10afc23c5774d4e6f9e934cbae814c2ab02201a0e4ee,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:e123c56cdc2da0167227ed92ba5dabd0e246ca2b9b9e6a8ba157628235d27724,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:1675eb98330882d2166ceacefbadb8ec37862d76e834b00566ee16a8ee9ab749,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c210751e4f29ee38a7d42559d8e4db6a12b176101ad2c7f4362e22e9c5f0e6aa,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:9089e3543bb647c2f93d87b915467e9a4aa89210894f5e5b55004cd72357c219,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:62b044aececc38fa73832bb93f34a4950211b2086af439d3957413386c0887a3,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:8192b159ddbef06efc12457c7c69f8bc8a190f086c942b802e090322e9fe112b,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:272664b84b848d6643f6673004eb7968606297436454327f3464c71f76b648bb,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c0a6a458dcc96889ef9eb40130508d95888ed593483d9744c12d38275cc6d6aa,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:43a5d3f28bb1b4f9c822dd413c37e409e87b993eed6a0ce729735c30911268ea,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:474b8f70996fd47556fed24f35d635c315011f3b0ae6b0cbe3afc7722e0eb24e,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:8754557c35770ac019ee2538a4b04a03bdbb062d8ff22c8a3e01075a68ae5508,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:ed9e9df1be653d0edf1b8162166568e1f541525fb8e60addd49c664cda7e33d1,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:f0350c52b37fce48cded730d27960cc59dfa23f47cee8715583b93b124395783,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:343ca9559678b29fef96efb19c8d77729553b43ad4f5c777ad796698a33fd693,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:4806525743066281c8661b8ead9952d1991344fc4a3cab8a8bfff1e1efe2dcae,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c617c824a377d0271fd83bcd22d4bdc850e04223a1891aad8518121483fd9681,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:2e848180f5fb4b56d5f9222014369e2d5a3636b92c847802e7e6fe6dd2b29a66,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:befc6ea044819d0557941bc2ee3da0058dca7860105b5243068701463b0157fd,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:129e3ef9c66d3e36e908f6916218b608544a91bf40837985fa9ff5d97ae2f18e,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:300d50f8aee9255f87119fb60ed0295c1db24a66a7e4290a1e20a071287dd55d,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:b9754f32f2b953f5b85f2f9bc00f84ee75a9e9fb356ccc45ac10a56cd7314253,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:dd1763ca9a477e70b939d55602f379691f11e94d8a29d6b895f69b5e0ed5ec61,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:37a4497be8f75e33f8741c3a46016d71a56b82a24795412edd094394388ed91f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:9077088861b9954352439458582d2cbb418bc2710f4cc3b35f55546715f5f1ab,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:9c7c26ebfca3349322579e7a3c6b094ccdc8078c8fae424f1e0bb568530e0af5,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c990c5fa2c824cc7158dc9b6806bc50b418b9327e2f66c724784f19520348193,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:58c116254dcde802c9ef3c44e829356371d1351c04907a984cf83c1e4bff3518,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:22f584357911940e19269d92cd9d59434a69292d8ad999783b18ad50aa236c48,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:7ab234decb6ddd2ced2152e7e80bf434b4007d6e9a8935e4072408af96959329,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:000a0ebdf01aba04cf398dd1cd618e5c1cd21f7a59cdbf1b13dd16b26a9381d8,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,512,16
sha256:bb81c6f740664976703d6141a376acea220a6781216f70fc7940b296bd924f8f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:f17501de9955dec4187433bf85cdcf59e9c92d86fa21293f93ae8f030eaf8105,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:bd6ce3a57b281ddc1670364a0a35d028f60af8f154888287cb20ac5a1d45730a,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:1f907dca40e7e61d0a0f6f8a9cac4abcdb3da1b5b925eaf26dc142e5ee69f3a7,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:bd4d8a86cecec63dc382742f5ab83ec2c02abfd0568dd8d1224e3c8f4db8b97b,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:a06fb07653294dc9f0ba92bb9840dff9b40ad4ed434e8a328633127a10299539,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:14d6dfa5fd8d006e595ecc41487a1518d2f5693a4802c9facbb06091d0eead69,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:de5a85ab514fd5560a2e59aa645cbd391c4bb018f742f8e81f46f1a83d1cdde7,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:f7a69cb979143805cea7662d68f04462aa1eaa670a94c70d0691d994ec9df984,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:88a4fce4fe73860d8d5cc64ac63b23e3323341c6a48ad5bf911a684506b8b97f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:3e955edbc1831474ec60ef68034f1d5a3cfa62940aeaf236a10e4025578ec33e,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:0f96295dce46db51b03484b949e7fa785d9493d298b24106731e8a87e423048c,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:3010300958232418d6895108df8fa71794709836ce98cca3cfe71933eb0c9e9c,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:4eb52e679e2eba3c23c2d1120919f30c7a3fd0bda76bbefe422ac93b6e5694ca,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:42a0feec801250da2d9652889b46c0ed8aa31d6cc4057708d7ef90f1480fc4c2,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:859230eb0f9311f90751272438c5dbe40371519e1ff746e58ecc92ffa9678bc4,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:28f3a9fdd69f59a265f34f311566bad9be3e23e8b5635c72baf068a3723dc0b9,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:b8c72d74aedd1f967f82d45adf9fb328a7f8b16242730fef103807628360bcea,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:8a4d117f8e48eedb2ae27cf3976043e060e7c76e298ef9f7a031357ebec05c6f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:d031fc78c5ba9a06ba4f10afc23c5774d4e6f9e934cbae814c2ab02201a0e4ee,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:e123c56cdc2da0167227ed92ba5dabd0e246ca2b9b9e6a8ba157628235d27724,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:1675eb98330882d2166ceacefbadb8ec37862d76e834b00566ee16a8ee9ab749,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c210751e4f29ee38a7d42559d8e4db6a12b176101ad2c7f4362e22e9c5f0e6aa,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:9089e3543bb647c2f93d87b915467e9a4aa89210894f5e5b55004cd72357c219,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:62b044aececc38fa73832bb93f34a4950211b2086af439d3957413386c0887a3,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:8192b159ddbef06efc12457c7c69f8bc8a190f086c942b802e090322e9fe112b,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:272664b84b848d6643f6673004eb7968606297436454327f3464c71f76b648bb,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c0a6a458dcc96889ef9eb40130508d95888ed593483d9744c12d38275cc6d6aa,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:43a5d3f28bb1b4f9c822dd413c37e409e87b993eed6a0ce729735c30911268ea,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:474b8f70996fd47556fed24f35d635c315011f3b0ae6b0cbe3afc7722e0eb24e,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:8754557c35770ac019ee2538a4b04a03bdbb062d8ff22c8a3e01075a68ae5508,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:ed9e9df1be653d0edf1b8162166568e1f541525fb8e60addd49c664cda7e33d1,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:f0350c52b37fce48cded730d27960cc59dfa23f47cee8715583b93b124395783,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:343ca9559678b29fef96efb19c8d77729553b43ad4f5c777ad796698a33fd693,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:4806525743066281c8661b8ead9952d1991344fc4a3cab8a8bfff1e1efe2dcae,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c617c824a377d0271fd83bcd22d4bdc850e04223a1891aad8518121483fd9681,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:2e848180f5fb4b56d5f9222014369e2d5a3636b92c847802e7e6fe6dd2b29a66,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:befc6ea044819d0557941bc2ee3da0058dca7860105b5243068701463b0157fd,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:129e3ef9c66d3e36e908f6916218b608544a91bf40837985fa9ff5d97ae2f18e,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:300d50f8aee9255f87119fb60ed0295c1db24a66a7e4290a1e20a071287dd55d,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:b9754f32f2b953f5b85f2f9bc00f84ee75a9e9fb356ccc45ac10a56cd7314253,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:dd1763ca9a477e70b939d55602f379691f11e94d8a29d6b895f69b5e0ed5ec61,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:37a4497be8f75e33f8741c3a46016d71a56b82a24795412edd094394388ed91f,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:9077088861b9954352439458582d2cbb418bc2710f4cc3b35f55546715f5f1ab,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:9c7c26ebfca3349322579e7a3c6b094ccdc8078c8fae424f1e0bb568530e0af5,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:c990c5fa2c824cc7158dc9b6806bc50b418b9327e2f66c724784f19520348193,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:58c116254dcde802c9ef3c44e829356371d1351c04907a984cf83c1e4bff3518,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:22f584357911940e19269d92cd9d59434a69292d8ad999783b18ad50aa236c48,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:7ab234decb6ddd2ced2152e7e80bf434b4007d6e9a8935e4072408af96959329,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:000a0ebdf01aba04cf398dd1cd618e5c1cd21f7a59cdbf1b13dd16b26a9381d8,waferagent_latency_safe,11854.10973696,7215.545057279999,1.1200000000008004,11852.989736959998,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,2048,512,16
sha256:bb81c6f740664976703d6141a376acea220a6781216f70fc7940b296bd924f8f,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
sha256:f17501de9955dec4187433bf85cdcf59e9c92d86fa21293f93ae8f030eaf8105,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
sha256:bd6ce3a57b281ddc1670364a0a35d028f60af8f154888287cb20ac5a1d45730a,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
sha256:1f907dca40e7e61d0a0f6f8a9cac4abcdb3da1b5b925eaf26dc142e5ee69f3a7,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
sha256:bd4d8a86cecec63dc382742f5ab83ec2c02abfd0568dd8d1224e3c8f4db8b97b,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
sha256:a06fb07653294dc9f0ba92bb9840dff9b40ad4ed434e8a328633127a10299539,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
sha256:14d6dfa5fd8d006e595ecc41487a1518d2f5693a4802c9facbb06091d0eead69,waferagent_latency_safe,1580.547964928,962.072674304,0.14000000000010004,1580.407964928,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,2048,1024,2
